idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
15,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR ESTABELECIMENTO,LG
13,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
2,03/01/2021,157,BATATAIS,ROUBO (ART. 157) - CONDOMINIO RESIDENCIAL,XIAOMI
8,29/11/2021,155,SAO CAETANO DO SUL,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,SAMSUNG
7,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,APPLE
18,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,ASUS
23,25/12/2018,155,RIBEIRAO PRETO,FURTO (ART. 155) - VEICULO,APPLE
25,12/01/2021,,,,MOTOROLA
38,25/11/2021,155,OSASCO,FURTO (ART. 155) - OUTROS,LG
43,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,QUANTUM
